PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P780
Station name, Cerrillos_PR2008
Begin Date, 2008-05-27
End Date, 2017-03-20
Release Date, 2017-03-22
Source file, P780.pbo.nam08.pos
Offset from source file, 22.92 mm North, 57.28 mm East, 3.96 mm Vertical
Reference position, 18.0750256874 North Latitude, -66.5791345794 East Longitude, 154.08664 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2008-05-27,0.00, 0.00, 0.00, 6.25, 8.39, 33.41, repro,
2008-05-28,-2.46, -0.52, 1.80, 1.77, 2.22, 8.52, repro,
2008-05-29,0.40, 2.76, 8.75, 1.84, 2.27, 8.85, repro,
2008-05-30,-0.49, 1.55, 9.73, 1.53, 1.99, 7.47, repro,
2008-05-31,-0.61, 0.18, 10.35, 1.65, 2.06, 8, repro,
2008-06-01,-1.45, 0.85, 13.54, 1.69, 2.12, 8.18, repro,
2008-06-02,1.53, 0.58, 12.78, 1.81, 2.27, 8.78, repro,
2008-06-03,2.59, 2.44, 9.62, 1.78, 2.22, 8.62, repro,
2008-06-04,1.61, -0.07, 13.26, 1.7, 2.12, 8.27, repro,
2008-06-05,2.55, -0.57, 2.15, 1.78, 2.2, 8.61, repro,
2008-06-06,2.13, 3.27, 7.29, 1.56, 1.97, 7.57, repro,
2008-06-07,5.89, 2.49, 14.06, 1.75, 2.15, 8.52, repro,
2008-06-08,2.76, 1.39, 6.98, 2.09, 2.64, 9.99, repro,
2008-06-09,3.31, 3.72, 16.41, 1.83, 2.19, 8.75, repro,
2008-06-10,1.29, 3.89, 1.71, 1.78, 2.31, 8.39, repro,
2008-06-11,-0.74, 6.63, 20.16, 2.21, 2.85, 10.72, repro,
2008-06-12,1.24, 3.26, 2.56, 1.7, 2.1, 8.29, repro,
2008-06-13,-1.17, 3.13, -10.59, 1.76, 2.17, 8.5, repro,
2008-06-14,3.15, 3.39, -4.79, 1.8, 2.24, 8.62, repro,
2008-06-15,1.31, 3.76, 5.27, 1.74, 2.19, 8.4, repro,
2008-06-16,4.32, 2.38, -14.44, 1.75, 2.17, 8.47, repro,
2008-06-17,3.17, 3.69, -3.55, 1.73, 2.14, 8.35, repro,
2008-06-18,3.28, 5.10, 2.81, 1.86, 2.28, 9.11, repro,
2008-06-19,2.43, 2.45, 4.40, 1.43, 1.79, 6.92, repro,
2008-06-20,4.59, 5.19, -6.78, 1.71, 2.15, 8.31, repro,
2008-06-21,1.56, 4.68, -1.98, 1.64, 2.05, 7.93, repro,
2008-06-22,2.99, 7.57, -7.22, 1.85, 2.43, 8.89, repro,
2008-06-23,2.81, 5.98, -17.45, 1.94, 2.52, 9.42, repro,
2008-06-24,4.22, 6.50, -2.31, 1.59, 2.01, 7.73, repro,
2008-06-25,3.67, 7.52, -9.92, 1.54, 1.92, 7.38, repro,
2008-06-26,1.88, 6.57, 4.20, 1.76, 2.28, 8.47, repro,
2008-06-27,2.94, 4.57, 0.25, 1.71, 2.15, 8.26, repro,
2008-06-28,3.74, 7.98, 3.95, 1.69, 2.12, 8.1, repro,
2008-06-29,2.50, 6.67, 3.37, 1.64, 2.03, 7.91, repro,
2008-06-30,-0.85, 9.58, -9.98, 1.61, 2.03, 7.77, repro,
2008-07-01,3.19, 3.50, 4.77, 1.8, 2.37, 8.66, repro,
2008-07-02,2.74, 4.27, -13.35, 1.83, 2.28, 8.82, repro,
2008-07-03,2.46, 4.81, -1.69, 1.7, 2.12, 8.16, repro,
2008-07-04,1.88, 5.28, -0.91, 1.66, 2.08, 8.03, repro,
2008-07-05,-0.89, 1.76, -0.27, 1.89, 2.53, 9.05, repro,
2008-07-06,2.04, 3.59, -9.43, 1.97, 2.53, 9.58, repro,
2008-07-07,5.05, 8.17, -3.99, 1.7, 2.12, 8.18, repro,
2008-07-08,3.73, 6.43, -5.00, 1.57, 1.97, 7.55, repro,
2008-07-09,-0.37, 4.06, 0.03, 1.86, 2.35, 8.74, repro,
2008-07-10,1.50, 3.44, -1.29, 1.7, 2.25, 8.13, repro,
2008-07-11,3.47, 3.80, 6.81, 1.67, 2.16, 7.91, repro,
2008-07-12,0.85, 3.42, -1.96, 1.65, 2.07, 7.74, repro,
2008-07-13,0.20, 8.14, 7.62, 1.7, 2.14, 7.99, repro,
2008-07-14,1.80, 4.57, 3.54, 1.71, 2.12, 8.11, repro,
2008-07-15,1.79, 11.85, -7.15, 1.88, 2.42, 8.89, repro,
2008-07-16,1.36, 9.26, -13.92, 1.72, 2.13, 8.21, repro,
2008-07-17,4.57, 7.80, -13.37, 1.68, 2.08, 8.04, repro,
2008-07-18,2.61, 7.23, 0.93, 1.91, 2.51, 9.13, repro,
2008-07-19,3.90, 2.84, -5.31, 2.06, 2.6, 9.86, repro,
2008-07-20,4.38, 5.49, -13.20, 2.15, 2.52, 10.18, repro,
2008-07-21,0.48, 6.10, 1.89, 1.78, 2.22, 8.54, repro,
2008-07-22,1.80, 3.42, 1.23, 1.92, 2.5, 9.07, repro,
2008-07-23,2.14, 2.33, 3.64, 2.05, 2.76, 9.86, repro,
2008-07-24,0.60, 6.87, 20.84, 2.23, 2.71, 10.95, repro,
2008-07-25,-1.73, 2.14, -1.04, 2.15, 2.71, 10.49, repro,
2008-07-26,1.00, 3.72, 3.66, 1.72, 2.13, 8.09, repro,
2008-07-27,2.84, 3.96, 4.25, 1.83, 2.26, 8.72, repro,
2008-07-28,5.84, 3.73, -0.57, 1.66, 2.16, 7.86, repro,
2008-07-29,2.15, 2.90, -3.71, 1.76, 2.27, 8.33, repro,
2008-07-30,5.71, 10.09, -0.30, 1.89, 2.4, 9, repro,
2008-07-31,6.71, 9.48, 13.04, 2.04, 2.75, 9.84, repro,
2008-08-01,0.77, 8.66, -1.52, 1.89, 2.49, 9, repro,
2008-08-02,2.75, 2.21, 9.48, 1.54, 1.92, 7.36, repro,
2008-08-03,3.79, 5.29, 16.85, 1.88, 2.4, 8.82, repro,
2008-08-04,5.05, 4.82, -6.12, 2.3, 2.95, 10.72, repro,
2008-08-05,2.39, 5.45, 0.56, 1.67, 2.06, 7.93, repro,
2008-08-06,2.96, 4.88, 8.09, 1.64, 2.08, 7.92, repro,
2008-08-07,3.69, 4.23, -4.47, 1.75, 2.14, 8.49, repro,
2008-08-08,4.73, 3.87, 0.02, 1.71, 2.12, 8.2, repro,
2008-08-09,1.09, 4.74, 13.68, 1.82, 2.36, 8.71, repro,
2008-08-10,6.10, 6.39, 2.26, 1.8, 2.27, 8.67, repro,
2008-08-11,4.31, 4.93, 1.88, 1.7, 2.18, 8.25, repro,
2008-08-12,6.71, 7.98, 0.03, 1.66, 2.17, 8.06, repro,
2008-08-13,0.29, 5.36, 6.26, 2.21, 2.94, 10.65, repro,
2008-08-14,-0.14, 4.84, -1.84, 1.87, 2.42, 9.17, repro,
2008-08-15,3.04, 6.66, 25.20, 1.76, 2.24, 8.56, repro,
2008-08-16,4.43, 8.72, 1.96, 2.08, 2.51, 10.11, repro,
2008-08-17,3.22, 7.78, 2.67, 1.96, 2.49, 9.32, repro,
2008-08-18,2.54, 8.21, 0.12, 1.96, 2.36, 9.67, repro,
2008-08-19,3.90, 4.30, 0.28, 1.79, 2.25, 8.69, repro,
2008-08-20,5.90, 5.76, 11.11, 1.82, 2.31, 8.87, repro,
2008-08-21,5.61, 5.75, -1.60, 1.87, 2.44, 9.07, repro,
2008-08-22,4.48, 8.33, 13.28, 1.93, 2.38, 9.26, repro,
2008-08-23,6.32, 8.52, 13.75, 1.57, 1.99, 7.57, repro,
2008-08-24,7.35, 9.72, 8.95, 1.61, 2.02, 7.74, repro,
2008-08-25,4.33, 6.82, 10.19, 1.72, 2.16, 8.27, repro,
2008-08-26,5.10, 6.11, 4.91, 1.46, 1.85, 7, repro,
2008-08-27,4.46, 5.85, 13.09, 1.82, 2.2, 8.68, repro,
2008-08-28,5.93, 7.16, 14.10, 1.91, 2.55, 9.32, repro,
2008-08-29,5.73, 3.91, 18.55, 1.95, 2.37, 9.56, repro,
2008-08-30,5.15, 7.91, -4.52, 1.8, 2.2, 8.66, repro,
2008-08-31,3.45, 2.97, 6.38, 2.24, 2.74, 11.26, repro,
2008-09-01,1.31, 4.51, 9.99, 2.26, 3.07, 11.16, repro,
2008-09-02,8.43, 4.20, 14.27, 1.93, 2.36, 9.25, repro,
2008-09-03,6.95, 7.33, 8.84, 2.14, 2.59, 10.43, repro,
2008-09-04,5.93, 3.93, -7.23, 2.08, 2.71, 9.97, repro,
2008-09-05,7.78, 3.86, 9.76, 1.76, 2.22, 8.52, repro,
2008-09-06,7.04, 5.15, 7.63, 1.65, 2.05, 7.91, repro,
2008-09-07,3.87, 7.24, 22.98, 1.92, 2.45, 9.41, repro,
2008-09-08,6.82, 6.64, 9.80, 1.82, 2.3, 8.96, repro,
2008-09-09,5.33, 6.06, 3.68, 1.44, 1.8, 6.91, repro,
2008-09-10,6.00, 5.72, 4.60, 1.86, 2.29, 9.01, repro,
2008-09-11,7.57, 8.50, -10.32, 1.77, 2.09, 8.55, repro,
2008-09-12,5.83, 4.79, -4.15, 1.57, 1.96, 7.51, repro,
2008-09-13,5.96, 4.11, 15.22, 1.91, 2.47, 9.45, repro,
2008-09-14,6.46, 4.97, -0.33, 2.13, 2.64, 10.18, repro,
2008-09-15,4.29, 5.95, -5.63, 1.88, 2.31, 9.19, repro,
2008-09-16,7.99, 5.64, 3.70, 2.14, 2.64, 10.46, repro,
2008-09-17,6.09, 7.07, 1.99, 1.62, 2.11, 7.9, repro,
2008-09-18,7.94, 6.46, -0.77, 2.13, 2.6, 10.18, repro,
2008-09-19,7.21, 5.67, 7.28, 1.9, 2.37, 9.15, repro,
2008-09-20,8.69, 2.06, 0.78, 1.96, 2.45, 9.55, repro,
2008-09-21,5.46, 6.26, 7.47, 1.69, 2.16, 8.11, repro,
2008-09-22,4.95, 9.69, 14.92, 1.69, 2.15, 8.17, repro,
2008-09-23,6.07, 8.92, 6.98, 1.55, 1.94, 7.4, repro,
2008-09-24,7.31, 7.12, 0.19, 1.76, 2.29, 8.42, repro,
2008-09-25,5.09, 7.51, 6.85, 1.89, 2.36, 9.08, repro,
2008-09-26,6.56, 8.47, 12.51, 1.97, 2.43, 9.6, repro,
2008-09-27,7.52, 10.12, 10.12, 1.71, 2.16, 8.23, repro,
2008-09-28,2.87, 8.68, 12.97, 1.91, 2.39, 9.12, repro,
2008-09-29,4.33, 9.17, -1.09, 1.77, 2.18, 8.49, repro,
2008-09-30,7.07, 9.43, 3.35, 2.04, 2.49, 9.98, repro,
2008-10-01,6.00, 9.62, 7.57, 1.79, 2.31, 8.71, repro,
2008-10-02,5.52, 11.24, -2.12, 2.43, 3.16, 11.7, repro,
2008-10-03,4.27, 8.69, -0.49, 1.78, 2.21, 8.54, repro,
2008-10-04,6.19, 6.58, 15.88, 1.8, 2.3, 8.71, repro,
2008-10-05,6.16, 6.55, -0.24, 2.2, 2.71, 10.67, repro,
2008-10-06,9.91, 8.92, 6.48, 2.15, 2.81, 10.15, repro,
2008-10-07,3.49, 9.44, 10.34, 1.79, 2.29, 8.55, repro,
2008-10-08,3.85, 9.70, 11.35, 2.09, 2.57, 9.99, repro,
2008-10-09,4.12, 7.33, 3.69, 2.14, 2.64, 10.16, repro,
2008-10-10,4.69, 9.67, 3.15, 1.81, 2.3, 8.59, repro,
2008-10-11,2.95, 11.04, 10.06, 1.7, 2.12, 8.26, repro,
2008-10-12,5.23, 11.06, -3.30, 1.71, 2.15, 8.27, repro,
2008-10-13,5.08, 10.97, 10.27, 1.5, 1.9, 7.25, repro,
2008-10-14,5.68, 10.67, 6.69, 1.7, 2.13, 8.27, repro,
2008-10-15,4.23, 7.80, 11.82, 1.53, 1.98, 7.44, repro,
2008-10-16,4.96, 10.51, 10.78, 1.92, 2.45, 9.35, repro,
2008-10-17,3.15, 9.68, 6.27, 1.71, 2.2, 8.04, repro,
2008-10-18,5.45, 10.41, 7.38, 1.74, 2.2, 8.44, repro,
2008-10-19,6.11, 10.13, 6.63, 1.51, 1.97, 7.07, repro,
2008-10-20,1.97, 11.03, 12.23, 2, 2.54, 9.55, repro,
2008-10-21,2.33, 12.77, 7.85, 1.76, 2.26, 8.32, repro,
2008-10-22,5.43, 10.72, 5.90, 1.45, 1.85, 7.02, repro,
2008-10-23,5.37, 11.97, -5.87, 1.78, 2.25, 8.59, repro,
2008-10-24,6.39, 14.20, -0.96, 1.8, 2.38, 8.71, repro,
2008-10-25,8.39, 10.04, 6.39, 1.88, 2.3, 9.12, repro,
2008-10-26,5.89, 10.41, 7.45, 1.91, 2.38, 9.28, repro,
2008-10-27,6.18, 14.82, 5.36, 1.8, 2.25, 8.78, repro,
2008-10-28,5.48, 10.76, -4.70, 1.92, 2.41, 9.18, repro,
2008-10-29,6.48, 10.35, -2.04, 1.9, 2.48, 8.87, repro,
2008-10-30,6.38, 8.63, 5.23, 1.96, 2.48, 9.56, repro,
2008-10-31,0.74, 12.02, -17.02, 2.1, 2.72, 10.44, repro,
2008-11-01,3.19, 13.24, -5.67, 1.7, 2.13, 8.19, repro,
2008-11-02,3.22, 9.27, -4.79, 1.62, 2.12, 7.88, repro,
2008-11-03,8.27, 10.85, 3.22, 1.85, 2.37, 9.13, repro,
2008-11-04,7.39, 10.22, 9.01, 1.64, 2.07, 7.98, repro,
2008-11-05,9.10, 8.86, 1.33, 1.72, 2.36, 8.26, repro,
2008-11-06,4.63, 10.83, 5.88, 1.96, 2.54, 9.2, repro,
2008-11-07,6.83, 12.60, 6.74, 1.79, 2.38, 8.62, repro,
2008-11-08,8.21, 10.13, 8.12, 1.73, 2.17, 8.41, repro,
2008-11-09,6.75, 12.82, 11.07, 1.77, 2.22, 8.68, repro,
2008-11-10,5.81, 9.25, 3.97, 1.43, 1.84, 6.98, repro,
2008-11-11,4.10, 10.14, 1.55, 1.68, 2.21, 8.29, repro,
2008-11-12,5.24, 9.69, -11.39, 1.93, 2.49, 9.22, repro,
2008-11-13,5.99, 11.00, 10.47, 1.68, 2.29, 8.23, repro,
2008-11-14,8.41, 10.38, 7.40, 1.76, 2.28, 8.52, repro,
2008-11-15,7.78, 12.36, -2.49, 1.81, 2.3, 8.88, repro,
2008-11-16,5.31, 9.32, 17.36, 1.63, 2.06, 7.99, repro,
2008-11-17,6.13, 9.17, 10.96, 1.55, 1.97, 7.59, repro,
2008-11-18,6.50, 8.84, -4.83, 1.67, 2.13, 8.19, repro,
2008-11-19,5.31, 7.87, 5.14, 1.67, 2.11, 8.1, repro,
2008-11-20,5.37, 12.24, 6.12, 1.68, 2.12, 8.21, repro,
2008-11-21,5.51, 12.35, -2.08, 1.78, 2.29, 8.78, repro,
2008-11-22,9.07, 11.44, -1.02, 1.65, 2.09, 8.06, repro,
2008-11-23,5.77, 11.18, 5.45, 1.78, 2.25, 8.73, repro,
2008-11-24,7.14, 11.74, 2.89, 1.43, 1.82, 6.94, repro,
2008-11-25,6.99, 9.56, 9.04, 1.5, 1.9, 7.34, repro,
2008-11-26,9.32, 11.60, 6.67, 1.53, 1.95, 7.47, repro,
2008-11-27,6.46, 8.89, 11.23, 1.4, 1.8, 6.84, repro,
2008-11-28,8.83, 9.31, 11.23, 1.76, 2.33, 8.6, repro,
2008-11-29,7.16, 12.04, 15.17, 1.68, 2.21, 8.09, repro,
2008-11-30,7.82, 9.03, 13.54, 1.52, 1.92, 7.23, repro,
2008-12-01,7.12, 10.89, 11.67, 1.49, 1.87, 7.13, repro,
2008-12-02,7.13, 10.30, 11.86, 1.32, 1.67, 6.29, repro,
2008-12-03,6.13, 10.65, 5.35, 1.67, 2.07, 7.98, repro,
2008-12-04,6.37, 11.82, 4.20, 1.56, 1.95, 7.45, repro,
2008-12-05,7.75, 12.97, 4.25, 1.52, 1.87, 7.26, repro,
2008-12-06,6.50, 11.28, 2.51, 1.44, 1.86, 6.93, repro,
2008-12-07,7.06, 11.03, 5.15, 1.78, 2.29, 8.53, repro,
2008-12-08,6.21, 8.14, 0.48, 1.46, 1.82, 7, repro,
2008-12-09,9.01, 11.45, -6.05, 1.55, 1.92, 7.48, repro,
2008-12-10,9.15, 14.66, -1.06, 1.6, 1.98, 7.69, repro,
2008-12-11,8.17, 13.72, 7.06, 1.57, 1.95, 7.66, repro,
2008-12-12,7.24, 11.77, 9.64, 1.66, 2.2, 8.06, repro,
2008-12-13,8.24, 9.71, -1.36, 1.8, 2.23, 8.72, repro,
2008-12-14,8.50, 13.98, 4.96, 1.57, 1.95, 7.68, repro,
2008-12-15,6.50, 14.08, -16.16, 1.73, 2.13, 8.37, repro,
2008-12-16,9.45, 11.05, 13.22, 1.84, 2.27, 8.92, repro,
2008-12-17,7.27, 12.16, -6.87, 1.68, 2.1, 8.08, repro,
2008-12-18,7.01, 12.60, -6.78, 1.87, 2.3, 9.01, repro,
2008-12-19,8.45, 10.96, 7.21, 1.78, 2.25, 8.59, repro,
2008-12-20,7.67, 14.16, 15.25, 1.71, 2.14, 8.26, repro,
2008-12-21,7.92, 13.62, 0.79, 1.7, 2.11, 8.15, repro,
2008-12-22,5.35, 13.13, -2.91, 1.56, 1.95, 7.47, repro,
2008-12-23,5.62, 13.14, 0.17, 1.5, 1.93, 7.2, repro,
2008-12-24,12.07, 18.21, -12.66, 1.81, 2.24, 8.69, repro,
2008-12-25,9.45, 16.57, -7.09, 1.89, 2.32, 9.07, repro,
2008-12-26,11.67, 16.72, -2.79, 1.81, 2.23, 8.61, repro,
2008-12-27,9.44, 12.92, -5.65, 1.83, 2.26, 8.76, repro,
2008-12-28,8.33, 17.38, 6.87, 1.6, 1.99, 7.62, repro,
2008-12-29,5.63, 15.20, 2.57, 1.5, 1.89, 7.18, repro,
2008-12-30,6.21, 13.19, 2.02, 1.54, 1.97, 7.38, repro,
2008-12-31,7.17, 14.61, 6.90, 1.41, 1.76, 6.69, repro,
2009-01-01,7.16, 13.14, -1.74, 1.44, 1.82, 6.87, repro,
2009-01-02,6.51, 14.19, 5.38, 1.32, 1.65, 6.23, repro,
2009-01-03,7.76, 13.07, 6.19, 1.38, 1.74, 6.61, repro,
2009-01-04,6.62, 13.04, 6.01, 1.3, 1.64, 6.23, repro,
2009-01-05,5.80, 13.28, 4.21, 1.39, 1.72, 6.56, repro,
2009-01-06,6.19, 14.88, 6.29, 1.44, 1.8, 6.85, repro,
2009-01-07,7.07, 14.50, 3.34, 1.43, 1.82, 6.91, repro,
2009-01-08,7.90, 11.39, 6.83, 1.82, 2.23, 8.83, repro,
2009-01-09,5.84, 16.79, 7.97, 1.63, 1.98, 7.83, repro,
2009-01-10,4.93, 16.79, -3.17, 1.46, 1.84, 6.9, repro,
2009-01-11,7.42, 17.26, -1.98, 1.72, 2.2, 8.24, repro,
2009-01-12,7.87, 16.77, -5.13, 1.65, 2.07, 7.81, repro,
2009-01-13,5.51, 17.57, -1.08, 1.67, 2.09, 7.99, repro,
2009-01-14,5.91, 15.58, -3.29, 1.61, 2.03, 7.66, repro,
2009-01-15,2.93, 16.79, -1.52, 1.85, 2.33, 8.9, repro,
2009-01-16,6.05, 18.78, -22.35, 1.72, 2.14, 8.27, repro,
2009-01-17,6.51, 16.17, -3.24, 1.64, 2.07, 7.82, repro,
2009-01-18,7.86, 14.93, -2.48, 1.59, 1.99, 7.57, repro,
2009-01-19,6.69, 16.94, 2.20, 1.42, 1.79, 6.76, repro,
2009-01-20,4.91, 17.82, -0.80, 1.54, 1.94, 7.39, repro,
2009-01-21,6.92, 18.82, 0.16, 2.01, 2.45, 9.73, repro,
2009-01-22,5.24, 13.93, 0.16, 1.75, 2.19, 8.41, repro,
2009-01-23,2.08, 17.94, -4.90, 1.77, 2.2, 8.52, repro,
2009-01-24,4.99, 14.91, -3.49, 1.6, 2.01, 7.67, repro,
2009-01-25,4.60, 13.99, -13.45, 1.53, 2.01, 7.44, repro,
2009-01-26,7.24, 16.60, -6.15, 1.66, 2.05, 7.91, repro,
2009-01-27,7.26, 18.70, -7.29, 1.77, 2.17, 8.38, repro,
2009-01-28,3.71, 15.71, -11.16, 1.72, 2.12, 8.24, repro,
2009-01-29,4.05, 17.10, 4.31, 1.69, 2.08, 8.05, repro,
2009-01-30,2.88, 17.28, -6.74, 1.72, 2.13, 8.22, repro,
2009-01-31,6.71, 15.64, -11.95, 2.03, 2.64, 9.81, repro,
2009-02-01,5.97, 17.58, 3.34, 1.67, 2.18, 8.03, repro,
2009-02-02,4.03, 16.49, -0.94, 1.45, 1.82, 6.92, repro,
2009-02-03,3.77, 15.68, 0.39, 1.53, 1.92, 7.26, repro,
2009-02-04,3.56, 14.89, -20.22, 1.62, 2.05, 7.76, repro,
2009-02-05,4.57, 14.06, -16.96, 1.53, 1.93, 7.37, repro,
2009-02-06,6.89, 14.63, 0.56, 1.66, 2.14, 8.01, repro,
2009-02-07,7.00, 15.89, -3.31, 1.81, 2.24, 8.72, repro,
2009-02-08,8.47, 16.58, 4.19, 1.76, 2.18, 8.46, repro,
2009-02-09,5.35, 13.98, -5.82, 1.64, 2.1, 7.92, repro,
2009-02-10,7.25, 15.34, 3.31, 1.74, 2.15, 8.38, repro,
2009-02-11,5.65, 15.63, 3.04, 1.54, 1.92, 7.48, repro,
2009-02-12,6.40, 13.35, 6.62, 1.58, 1.96, 7.7, repro,
2009-02-13,4.47, 15.59, 0.18, 1.54, 1.91, 7.33, repro,
2009-02-14,5.38, 16.39, 2.03, 1.43, 1.79, 6.83, repro,
2009-02-15,4.40, 16.22, 3.61, 1.42, 1.8, 6.82, repro,
2009-02-16,5.53, 13.38, 6.57, 1.52, 1.88, 7.27, repro,
2009-02-17,6.19, 14.98, 14.61, 1.64, 2.03, 7.78, repro,
2009-02-18,6.66, 17.66, 7.01, 1.51, 1.88, 7.21, repro,
2009-02-19,7.17, 15.89, 2.38, 1.46, 1.79, 6.85, repro,
2009-02-20,5.65, 13.76, 11.98, 1.57, 1.94, 7.49, repro,
2009-02-21,6.61, 15.94, 16.85, 1.57, 1.92, 7.45, repro,
2009-02-22,7.07, 14.46, 0.24, 1.56, 1.91, 7.39, repro,
2009-02-23,6.06, 14.66, -4.12, 1.49, 1.83, 7.1, repro,
2009-02-24,4.42, 14.31, 1.71, 1.49, 1.84, 7.13, repro,
2009-02-25,6.33, 15.14, 2.47, 1.7, 2.01, 8.12, repro,
2009-02-26,6.04, 12.03, 2.44, 1.76, 2.12, 8.41, repro,
2009-02-27,5.58, 14.02, 3.74, 2.01, 2.41, 9.76, repro,
2009-02-28,5.14, 13.54, 9.68, 1.89, 2.29, 8.99, repro,
2009-03-01,4.58, 14.20, -0.55, 1.9, 2.25, 9.08, repro,
2009-03-02,5.99, 12.42, -0.65, 1.58, 1.91, 7.49, repro,
2009-03-03,2.69, 12.01, 12.76, 1.82, 2.24, 8.61, repro,
2009-03-04,9.06, 12.65, 4.58, 1.63, 1.98, 7.72, repro,
2009-03-05,6.51, 12.70, 3.00, 1.6, 1.94, 7.62, repro,
2009-03-06,6.65, 12.09, 1.34, 1.56, 1.91, 7.48, repro,
2009-03-07,9.29, 15.40, 15.54, 1.7, 2.04, 8.12, repro,
2009-03-08,9.96, 16.63, 3.69, 1.65, 1.97, 7.81, repro,
2009-03-09,6.15, 14.75, -1.51, 1.39, 1.69, 6.68, repro,
2009-03-10,7.67, 15.58, 1.75, 1.33, 1.62, 6.33, repro,
2009-03-11,5.36, 16.94, -1.16, 1.49, 1.81, 7.07, repro,
2009-03-12,5.51, 14.48, -1.71, 1.41, 1.72, 6.76, repro,
2009-03-13,7.30, 16.17, 5.79, 1.52, 1.86, 7.3, repro,
2009-03-14,6.37, 16.38, 10.46, 1.42, 1.74, 6.78, repro,
2009-03-15,8.62, 13.86, 1.70, 1.41, 1.72, 6.74, repro,
2009-03-16,7.32, 14.36, -1.38, 1.51, 1.87, 7.25, repro,
2009-03-17,8.13, 16.31, 10.51, 1.46, 1.78, 6.96, repro,
2009-03-18,7.93, 15.37, 3.78, 1.37, 1.68, 6.56, repro,
2009-03-19,5.61, 15.99, 14.06, 1.47, 1.79, 7.01, repro,
2009-03-20,7.67, 17.93, 1.49, 1.83, 2.18, 8.74, repro,
2009-03-21,7.69, 14.81, -3.66, 1.88, 2.26, 9.1, repro,
2009-03-22,4.84, 16.88, 3.92, 2.11, 2.56, 9.89, repro,
2009-03-23,7.39, 15.56, 12.55, 1.89, 2.25, 8.98, repro,
2009-03-24,7.45, 15.17, 12.31, 1.59, 1.93, 7.59, repro,
2009-03-25,7.89, 15.56, 14.70, 1.42, 1.72, 6.79, repro,
2009-03-26,8.13, 18.92, 22.29, 1.49, 1.81, 7.16, repro,
2009-03-27,8.41, 17.01, 1.63, 1.51, 1.85, 7.26, repro,
2009-03-28,8.60, 16.49, 7.25, 1.44, 1.77, 6.89, repro,
2009-03-29,7.45, 17.05, 9.18, 1.39, 1.68, 6.59, repro,
2009-03-30,8.74, 17.58, 12.23, 1.46, 1.78, 6.98, repro,
2009-03-31,8.88, 17.26, 20.11, 1.74, 2.11, 8.3, repro,
2009-04-01,8.52, 16.81, 10.54, 1.51, 1.84, 7.23, repro,
2009-04-02,4.95, 17.60, 8.24, 1.5, 1.83, 7.29, repro,
2009-04-03,9.35, 18.37, 9.26, 1.73, 2.05, 8.37, repro,
2009-04-04,8.30, 18.05, 9.01, 1.55, 1.89, 7.46, repro,
2009-04-05,7.06, 19.40, 3.23, 1.58, 1.91, 7.54, repro,
2009-04-06,5.14, 19.96, 7.69, 1.35, 1.64, 6.43, repro,
2009-04-07,8.18, 18.02, 15.51, 1.73, 2.1, 8.34, repro,
2009-04-08,7.08, 20.32, 3.38, 1.9, 2.31, 9.19, repro,
2009-04-09,6.44, 15.15, 5.71, 1.92, 2.36, 9.38, repro,
2009-04-10,5.34, 21.04, 14.98, 1.76, 2.14, 8.4, repro,
2009-04-11,7.89, 20.84, 3.10, 1.69, 2.05, 8.17, repro,
2009-04-12,8.73, 19.72, 1.85, 1.84, 2.28, 8.95, repro,
2009-04-13,7.77, 14.97, 4.98, 1.97, 2.45, 9.47, repro,
2009-04-14,8.95, 18.73, 3.80, 1.65, 2.02, 7.99, repro,
2009-04-15,5.73, 16.56, 11.50, 1.58, 1.94, 7.62, repro,
2009-04-16,7.07, 17.45, 2.80, 1.68, 2.06, 8.1, repro,
2009-04-17,5.42, 18.54, 13.20, 1.74, 2.21, 8.42, repro,
2009-04-18,8.74, 19.73, 15.81, 1.99, 2.39, 9.55, repro,
2009-04-19,6.23, 21.52, 7.76, 1.77, 2.23, 8.56, repro,
2009-04-20,8.65, 18.69, 12.33, 1.63, 1.99, 7.87, repro,
2009-04-21,1.01, 21.13, 18.34, 2.29, 2.78, 11.04, repro,
2009-04-22,5.79, 20.02, 16.22, 1.57, 1.93, 7.61, repro,
2009-04-23,8.80, 17.57, 9.24, 1.67, 2.1, 8.04, repro,
2009-04-24,5.92, 19.50, -0.31, 1.61, 2, 7.81, repro,
2009-04-25,6.84, 16.98, 6.13, 1.63, 2.05, 7.99, repro,
2009-04-26,7.32, 17.23, 12.10, 1.66, 2.06, 8.1, repro,
2009-04-27,7.91, 20.81, 1.28, 1.85, 2.27, 9.07, repro,
2009-04-28,4.46, 20.07, 7.14, 1.69, 2.1, 8.26, repro,
2009-04-29,8.62, 16.96, 18.38, 1.69, 2.13, 8.3, repro,
2009-04-30,8.37, 18.62, 20.38, 1.7, 2.13, 8.3, repro,
2009-05-01,7.98, 17.36, 8.57, 1.49, 1.88, 7.37, repro,
2009-05-02,6.05, 22.23, 0.83, 1.73, 2.29, 8.31, repro,
2009-05-03,7.42, 16.30, 12.66, 2.17, 2.77, 10.75, repro,
2009-05-04,7.08, 21.26, -2.26, 1.95, 2.54, 9.7, repro,
